No,ROA 
1,14.3592
2,8.9134
3,6.7589
4,10.0153
5,5.4121
6,6.4176
7,6.8758
8,7.2405
9,5.9266
10,3.7796
11,6.7302
12,5.6849
13,6.7928
14,7.2478
15,4.5652
16,6.9005
17,7.2468
18,9.4844
19,7.2401
20,4.0143
21,7.5683
22,6.3430
23,5.7198
24,5.7296
25,5.7088
26,5.4375
27,4.1420
28,2.7114
29,2.0698
30,1.7604
31,37.8809
32,38.3754
33,38.5772
34,37.6733
35,43.8147
36,9.5835
37,9.5018
38,12.0808
39,14.5829
40,19.3076
41,21.7963
42,25.9836
43,31.2024
44,29.5611
45,29.5744
46,26.4076
47,32.0345
48,38.6154
49,45.4462
50,58.0237
51,21.9720
52,15.4676
53,20.6401
54,24.1415
55,29.3362
56,45.6319
57,46.9787
58,52.0084
59,52.4493
60,47.9447
61,42.49593507
62,44.86386027
63,48.64518075
64,43.73415229
65,37.74961435
66,72.11166605
67,76.3670687
68,76.0372131
69,74.33836155
70,70.27179059
71,63.58171535
72,63.95531665
73,60.03788636
74,59.85609046
75,56.76584288
76,66.29671954
77,60.34572215
78,51.64382082
79,47.14972802
80,37.84633287
81,67.85746881
82,71.13589978
83,70.24555237
84,67.21627218
85,61.55628304
86,47.81428674
87,48.47486691
88,44.59588004
89,43.95541404
90,48.39915559
91,15.4676
92,20.6401
93,24.1415
94,29.3362
95,45.6319
96,46.9787
97,52.0084
98,52.4493
99,47.9447
100,42.49593507
101,44.86386027
102,48.64518075
103,43.73415229
104,37.74961435
105,72.11166605
106,76.3670687
107,76.0372131
108,74.33836155
109,70.27179059
110,63.58171535
111,63.95531665
112,60.03788636
113,14.3592
114,8.9134
115,6.7589
116,10.0153
117,5.4121
118,6.4176
119,6.8758
120,7.2405
121,5.9266
122,3.7796
123,6.7302
124,5.6849
125,6.7928
126,7.2478
127,4.5652
128,6.9005
129,7.2468
130,9.4844
131,7.2401
132,4.0143
133,7.5683
134,6.3430
135,5.7198
136,5.7296
137,5.7088
138,5.4375
139,4.1420
140,2.7114
141,2.0698
142,1.7604
143,37.8809
144,38.3754
145,38.5772
146,37.6733
147,43.8147
148,9.5835
149,9.5018
150,12.0808
151,14.5829
152,19.3076
153,21.7963
154,25.9836
155,23.6700
