Y,X1,X2,X3
1,14.359,219.592,8.780
0,8.913,165.134,2.790
1,6.759,143.589,4.560
1,10.015,176.153,10.340
1,5.412,130.121,13.900
1,6.418,140.176,9.876
1,6.876,144.758,12.653
1,7.240,148.405,13.950
1,5.927,135.266,14.863
1,3.780,113.796,12.800
1,6.730,143.302,10.864
0,2.685,102.849,3.098
1,6.793,143.928,4.035
1,7.248,148.478,7.894
0,4.565,121.652,4.093
0,6.900,145.005,2.084
0,3.247,108.468,3.089
0,9.484,170.844,3.092
0,7.240,148.401,7.056
0,1.014,86.143,5.784
1,11.568,191.683,18.038
0,6.343,139.430,2.098
0,5.720,133.198,7.028
0,5.730,133.296,7.308
0,5.709,133.088,6.920
1,5.437,130.375,15.030
0,1.142,87.420,2.020
0,2.711,103.114,4.028
0,2.070,96.698,3.093
0,1.760,93.604,1.208
